borough_code,borough_name,value_2001,value_2017,category,pct_change
E09000006,Bromley,115.0,175.0,takeaway_workplaces,0.5217391304347826
E09000002,Barking and Dagenham,90.0,135.0,takeaway_workplaces,0.5
E09000003,Barnet,120.0,180.0,takeaway_workplaces,0.5
E09000015,Harrow,80.0,120.0,takeaway_workplaces,0.5
E09000026,Redbridge,110.0,165.0,takeaway_workplaces,0.5
E09000008,Croydon,165.0,245.0,takeaway_workplaces,0.48484848484848486
E09000024,Merton,75.0,110.0,takeaway_workplaces,0.4666666666666667
E09000010,Enfield,115.0,165.0,takeaway_workplaces,0.43478260869565216
E09000018,Hounslow,100.0,135.0,takeaway_workplaces,0.35
E09000009,Ealing,120.0,160.0,takeaway_workplaces,0.3333333333333333
E09000021,Kingston upon Thames,75.0,100.0,takeaway_workplaces,0.3333333333333333
E09000032,Wandsworth,125.0,165.0,takeaway_workplaces,0.32
E09000001,City of London,120.0,155.0,takeaway_workplaces,0.2916666666666667
E09000005,Brent,120.0,155.0,takeaway_workplaces,0.2916666666666667
E09000028,Southwark,155.0,200.0,takeaway_workplaces,0.2903225806451613
E09000029,Sutton,95.0,120.0,takeaway_workplaces,0.2631578947368421
E09000014,Haringey,105.0,130.0,takeaway_workplaces,0.23809523809523808
E09000019,Islington,150.0,185.0,takeaway_workplaces,0.23333333333333334
E09000022,Lambeth,145.0,175.0,takeaway_workplaces,0.20689655172413793
E09000004,Bexley,105.0,125.0,takeaway_workplaces,0.19047619047619047
E09000027,Richmond upon Thames,80.0,85.0,takeaway_workplaces,0.0625
E09000007,Camden,215.0,225.0,takeaway_workplaces,0.046511627906976744
E09000013,Hammersmith and Fulham,110.0,115.0,takeaway_workplaces,0.045454545454545456
E09000020,Kensington and Chelsea,95.0,80.0,takeaway_workplaces,-0.15789473684210525
E09000033,Westminster,400.0,305.0,takeaway_workplaces,-0.2375
E09000029,Sutton,20.0,105.0,unlicensed_food_workplaces,4.25
E09000025,Newham,35.0,155.0,unlicensed_food_workplaces,3.4285714285714284
E09000016,Havering,30.0,120.0,unlicensed_food_workplaces,3.0
E09000031,Waltham Forest,40.0,160.0,unlicensed_food_workplaces,3.0
E09000026,Redbridge,35.0,135.0,unlicensed_food_workplaces,2.857142857142857
E09000001,City of London,50.0,190.0,unlicensed_food_workplaces,2.8
E09000030,Tower Hamlets,65.0,245.0,unlicensed_food_workplaces,2.769230769230769
E09000023,Lewisham,40.0,150.0,unlicensed_food_workplaces,2.75
E09000017,Hillingdon,40.0,140.0,unlicensed_food_workplaces,2.5
E09000024,Merton,35.0,120.0,unlicensed_food_workplaces,2.4285714285714284
E09000012,Hackney,65.0,215.0,unlicensed_food_workplaces,2.3076923076923075
